mse cv train,rmse cv train,mae cv train,r2 cv train,mse test,rmse test,mae test,r2 test,seed,bootstrap_rep
0.0028217239906569215,0.039994279169981134,0.039994279169981134,0.5389043100005182,0.002974305765749866,0.0545371961669269,0.04274250565253477,0.47688735529338144,21,0
0.0035806507789885333,0.04239342933480241,0.04239342933480241,0.3228557063365085,0.0016036724246061317,0.040045878996547594,0.032716220360935105,0.3765498809165254,21,1
0.0016164800201104788,0.033762985682411095,0.033762985682411095,0.6216895442253056,0.0073073133733538255,0.08548282501973029,0.06153118908481354,-0.05611558489140345,21,2
0.003257685202336145,0.042698036818145185,0.042698036818145185,0.27710904273469306,0.001870679260548577,0.04325134981186803,0.03958827026976601,0.649132274076675,21,3
0.0023355554741805637,0.0399460604618075,0.0399460604618075,0.5575654877119648,0.001109460022809887,0.03330855780141024,0.026537403566520252,0.8472289888233089,21,4
0.0019406209486052652,0.03365736291642053,0.03365736291642053,0.6739578796048623,0.0018827417630027418,0.04339057228249867,0.03522775563266295,0.6713534754123824,21,5
0.0034038328865414495,0.040558546297571545,0.040558546297571545,0.22498870589261633,0.0025017720693360688,0.050017717554243404,0.03799728555249921,0.5744869545081193,21,6
0.001889800181048468,0.03297337381944702,0.03297337381944702,0.5160447429842472,0.0066305950062395405,0.08142846557709128,0.056525962810751895,0.08479839649488219,21,7
0.0021897506459998637,0.03854976015387069,0.03854976015387069,0.49068049842878747,0.0006705121279635917,0.025894248936078293,0.02182285377852977,0.38102996673789835,21,8
0.0035982778090512357,0.0345748375566681,0.0345748375566681,0.3541580208073771,0.0017835168240258967,0.0422317040151815,0.03171757779528461,0.5534230552115338,21,9
0.0019135945748250999,0.03392706095311173,0.03392706095311173,0.551089919455026,0.0052221945191850555,0.07226475295180255,0.05304827092147477,0.16228127272676351,21,10
0.0017087243605511662,0.03241689667716447,0.03241689667716447,0.6105872579688209,0.0017491599842814395,0.04182296001338785,0.03721358733736449,0.6204498526266617,21,11
0.001966007534388656,0.03790374855764049,0.03790374855764049,0.552085338973987,0.005118604564349933,0.07154442371247345,0.04895266780606258,0.2792336504379582,21,12
0.0028807825026464593,0.043463822238460875,0.043463822238460875,0.6082513054702051,0.002265524550226296,0.047597526723836145,0.03143236235841442,0.6752576879297925,21,13
0.0010269074266250572,0.026979139922430093,0.026979139922430093,0.4765109889550505,0.008747299198097714,0.09352699716176989,0.062163836631052766,-1.052308335722282,21,14
0.0033485153911407685,0.04118191350502827,0.04118191350502827,0.36738180991551517,0.00027498157485194853,0.01658256840335503,0.014273147034576746,0.6763664712229158,21,15
0.003940122801247214,0.04415258659444903,0.04415258659444903,0.22023443004836862,0.0023802917691936373,0.04878823392164997,0.042253669297406926,0.08198507457611848,21,16
0.0025002341592643643,0.03266930707062611,0.03266930707062611,0.6470132596645223,0.0005577335448398996,0.02361638297538172,0.017099898635565405,0.0805560261081617,21,17
0.0008872679922068508,0.024812138130525754,0.024812138130525754,0.7151234398800826,0.0015325440545631414,0.039147720937024434,0.03522815444627185,0.7845729220734172,21,18
0.0007345882808030074,0.024084066291176213,0.024084066291176213,0.8010417416861448,0.0011515702207865067,0.0339347936605854,0.03168347860478454,0.5684663597716638,21,19
0.0011125864241179236,0.027842637075988955,0.027842637075988955,0.8133802675778881,0.0005035790747687278,0.022440567612445273,0.01702225762468836,0.8405058303881854,21,20
0.0011481212508096317,0.025092149060278072,0.025092149060278072,0.7411599464461897,0.0005230524699426099,0.02287034039848576,0.015771979120722802,0.8854847305771449,21,21
0.0020451976945303667,0.033502054992293945,0.033502054992293945,0.6328973581362097,0.0013436664847911444,0.03665605659084382,0.02567999989104944,0.6046579458953429,21,22
0.003193913638429678,0.03988896728823723,0.03988896728823723,0.3582260920318041,0.0010352233227706035,0.03217488652304159,0.025023285702368416,0.5061511414374185,21,23
0.0025024338341321753,0.0362790183328171,0.0362790183328171,0.5886568641849412,0.004372857252019667,0.06612758314062044,0.045873794586926676,0.26980936144174794,21,24
0.003536674433230688,0.03978515375758998,0.03978515375758998,0.4295420621015674,0.0011554402123974499,0.033991766832535346,0.03214421678282919,0.6712795406951564,21,25
0.0026173755208752417,0.036896915302005756,0.036896915302005756,0.5952082770400625,0.0009858559483562363,0.03139834308297552,0.023022964623644736,0.6597613249968493,21,26
0.0029310582130301246,0.03858807560016125,0.03858807560016125,0.4370812302583149,0.002025978057114837,0.04501086598939013,0.03997627399386801,0.27847912228762994,21,27
0.0027499477174564493,0.037092649677138594,0.037092649677138594,0.34444135575851775,0.0006852012085618881,0.026176348266362292,0.02227208038954077,0.8285038268025288,21,28
0.0015177867557651867,0.029061799235451078,0.029061799235451078,0.6500348947646133,0.00028791204728039583,0.016967971218751987,0.0143789559805439,0.9365930351069959,21,29
0.0018394259115387885,0.031233536442763735,0.031233536442763735,0.4877324615637946,0.00203446377416279,0.045105030475134256,0.034550283952782763,0.417949378573213,21,30
0.0034561763084399576,0.04531400607605017,0.04531400607605017,0.3388404936447209,0.003474194125124142,0.058942294874937996,0.05245026848084988,0.5831864900569745,21,31
0.003675950336310944,0.051673609634508025,0.051673609634508025,0.42054266869072177,0.0029202953662372383,0.054039757274040735,0.049657371434228846,0.3002740057370241,21,32
0.0020461164838169324,0.040804182777500794,0.040804182777500794,0.6553643371745959,0.0010710218153641927,0.032726469644069354,0.03043856164138529,0.6299078128227305,21,33
