,mse cv train,rmse cv train,mae cv train,r2 cv train,mse test,rmse test,mae test,r2 test,seed
0,0.02219493635301449,0.133241630128248,0.133241630128248,-2.6658212406995263,0.016349530122797093,0.12786528114698334,0.11792773659210613,-4.212722837371058,21
1,0.009374911438707193,0.07950603192057744,0.07950603192057744,-1.2340731335707051,0.020945051240078633,0.14472405204415276,0.12923500544150587,-1.318727530403542,21
2,0.010480484652327725,0.09330700668086771,0.09330700668086771,-1.2012789724313424,0.012062891311398788,0.10983119461882762,0.09227880516102067,-0.7992951193464493,21
3,0.01592264025758365,0.10448331464372265,0.10448331464372265,-2.329146312257194,0.0108445485424764,0.10413716215874332,0.09012427677463815,-1.0572744457932939,21
4,0.008501387838900094,0.0786869333237835,0.0786869333237835,-1.0034159090454242,0.013671685824609639,0.11692598438589105,0.08975420120992395,-1.0597375995294587,21
5,0.006566682014694474,0.059862912910045814,0.059862912910045814,-0.3716767540718029,0.013963445815991399,0.1181670250788747,0.10245363389953971,-1.1287269434090623,21
6,0.022878336074967216,0.1243079033425292,0.1243079033425292,-2.795344116016453,0.0069835239747363794,0.08356748156272498,0.06491453031250942,-1.1288828606775456,21
7,0.006412291725773293,0.06221625074192086,0.06221625074192086,-0.28275332996514435,0.013576175252712685,0.1165168453602855,0.09689544491102126,-1.0586695585364416,21
8,0.00799327862282675,0.07666996614503123,0.07666996614503123,-0.6519450472210351,0.0160636920974977,0.1267426214716174,0.10658104041371254,-1.342901471165221,21
9,0.008153747502722321,0.08243545999394526,0.08243545999394526,-0.6576886067430701,0.015429909287803354,0.12421718595992809,0.10977015366052269,-1.2725965809064936,21
10,0.011297762633745576,0.08221186962694417,0.08221186962694417,-1.0871219987583798,0.004872727227147113,0.0698049226569811,0.05276098241844157,-0.3586540947469934,21
11,0.011055989256542045,0.09575031278037277,0.09575031278037277,-1.6838144970610407,0.011102361446358773,0.10536774386100697,0.09495280956574137,-0.373921232501927,21
12,0.012305092206079562,0.0949665570156797,0.0949665570156797,-1.2700327040845583,0.0346982733562531,0.18627472548967317,0.17775925752670876,-7.269321010464335,21
13,0.00583880447119524,0.06720521335714826,0.06720521335714826,-0.1541521762592033,0.011298810336321088,0.10629586227281422,0.09726997514881662,-0.9958544172719435,21
14,0.021694893792098047,0.11792560884774078,0.11792560884774078,-3.0985599846073537,0.01478520789282635,0.12159444022169084,0.09455331408275425,-1.8131152709218092,21
15,0.004209104986393771,0.0567638900868847,0.0567638900868847,-0.025291672336479554,0.007151483768048979,0.08456644587570758,0.06797937876741618,0.1220603422804395,21
16,0.005042755894314141,0.054608731871331785,0.054608731871331785,0.029898978202049675,0.006567749224615594,0.08104165117157716,0.06144336297801569,-0.7971939498222267,21
17,0.006581384545758316,0.06919514538977167,0.06919514538977167,-0.5082562135962656,0.01649713344045357,0.12844116723408258,0.11179394189805879,-0.990803812859526,21
