mse cv train,rmse cv train,mae cv train,r2 cv train,mse test,rmse test,mae test,r2 test,seed,bootstrap_rep
0.013289911598400532,0.08422649855396554,0.083313252936909,0.6104885177355808,0.015797122462762995,0.1256866041500167,0.10679628462020975,0.7822128747185338,21,0
0.006006081701600947,0.05788770694045797,0.05736570225358076,0.7851794808752692,0.0022139855129455267,0.04705300748034632,0.03745131567056089,0.8459015765137348,21,1
0.018503893542774538,0.11622775707485616,0.11516590737305281,0.5896751262796089,0.018294798286564783,0.13525826513217143,0.11782701440665865,0.6351167713930013,21,2
0.020093008889813007,0.12071174400716485,0.11907677560374909,0.4207689264505514,0.04783094715572727,0.21870287413686926,0.20376493746558608,0.11511122455990463,21,3
0.011480186523313046,0.08296804549802883,0.0801009607108767,0.695470949011336,0.012596881364104256,0.11223582923516116,0.08228898177400716,0.6007973180435204,21,4
0.012166137111905919,0.07163703588101283,0.06882266220721564,0.6845747313014958,0.009878216068795801,0.09938921505271989,0.07433093334693266,-0.5880334231331832,21,5
0.01140194017301099,0.0789181136687773,0.07828953488123498,0.5880001793736569,0.006002990781407076,0.07747896992995632,0.06906210892009022,0.8172094529648604,21,6
0.01838941725903147,0.11293004115072115,0.11239546645757412,0.46336515740624806,0.014294300841264306,0.11955877567650275,0.10533071915617975,0.3381017376469939,21,7
0.017294220163217036,0.11700433757819015,0.11332628096760583,0.5524677383323089,0.02526243248018156,0.15894160084817807,0.1340821541017714,0.4344576062093858,21,8
0.01194375578333041,0.07639733923031425,0.07637736532469191,0.6368894229411832,0.011799902274617946,0.10862735509353962,0.08615821613807985,0.7681097250917304,21,9
0.01515465684164972,0.1113454191072702,0.11091226894712415,0.6735399430140039,0.007072228618083265,0.08409654343719047,0.0707422691517483,0.7558551484528111,21,10
0.01714392455477424,0.1129222716025436,0.11199467797598464,0.25989223809425865,0.03002805018226857,0.1732860357393768,0.12647273536896034,0.44384092117812224,21,11
0.011308756074399764,0.07028333210589362,0.06914900390544176,0.678110268832012,0.024512298563275584,0.15656403981526404,0.11428836949783407,0.4252547470568936,21,12
0.023804063749323635,0.12663771962586723,0.1224382539422611,0.24191649931693093,0.018078781339473132,0.13445735881487905,0.0930053405118744,0.6834178094367152,21,13
0.021184697326814498,0.12339199570532283,0.12086942580883939,0.5352669616021626,0.0025728576378840485,0.05072334411179973,0.041416756399910284,0.6050437836581506,21,14
0.01697131756920872,0.100802731461502,0.09781684492109854,0.5982577284662858,0.01513078282930731,0.1230072470601115,0.11557117870016786,0.26418384414841367,21,15
0.013559118671474668,0.08927145385016884,0.08738866406317496,0.591642352595767,0.020651361040704603,0.14370581422024858,0.13389053370778795,0.6563016469687775,21,16
0.01958566392837595,0.12068154976701247,0.11890893970955717,0.5857221396339505,0.022246857170812033,0.14915380374235193,0.13525387982560305,0.08148297828632489,21,17
0.017418057936445654,0.11611612529041652,0.11323123926550394,0.6825951719212409,0.03239916948049646,0.17999769298659485,0.1517681641455852,0.3340774729260376,21,18
0.018192766404036213,0.11294082958286739,0.11258596062104494,0.4942537233352511,0.03126148033368986,0.17680916360214438,0.14133957988111723,0.5656404082258255,21,19
0.02235126271686918,0.12631018849367734,0.12255187449604886,0.42987708324261265,0.024390748077104778,0.15617537602677567,0.13511525653397402,0.3566871268284346,21,20
0.017737725074033713,0.1142159518415612,0.11180568750665337,0.614152341064599,0.020627370810689334,0.14362232002961564,0.10807842933776922,0.31881576376615606,21,21
0.015067832433983377,0.07798257317464606,0.0763969404343438,0.7956927631037151,0.021580360711141,0.14690255515524908,0.10985704396936642,0.5337165204842098,21,22
0.01927975599528621,0.1104967056048179,0.10848760780477901,0.5771590077679751,0.023902384426008765,0.15460395992990855,0.1361401752573105,0.5539920651658683,21,23
0.016070214205104058,0.08904768152073388,0.0877445417013335,0.6835207874968225,0.008220482870594261,0.09066687857533345,0.06059308854999018,0.6192782035358045,21,24
0.025267357571680152,0.1406854837889362,0.1405928265147901,0.5735168848887631,0.014709562273945,0.121282984272094,0.10610293256529288,0.5346878299397645,21,25
0.01804210760088111,0.10429059079715916,0.10278577253367621,0.5858097952322239,0.025976709302556997,0.16117291739792078,0.13351068415103542,0.45253386846223953,21,26
0.014364852262908075,0.10631091156761013,0.10397517674745294,0.5027970197203415,0.03172754117617787,0.1781222646840587,0.13746474056480298,0.45266528741278844,21,27
0.016025333296281082,0.11190068465140571,0.111000370411454,0.6061372399396797,0.018409267969695033,0.1356807575513014,0.1232176986946062,0.6548614437882397,21,28
0.022467377970319273,0.12681087565958796,0.12394770264870347,0.3705200029370225,0.015670240673719905,0.1251808318941838,0.12072854048769917,0.6255526221533818,21,29
0.013183197054103958,0.1009901269743261,0.09781027471894777,0.7357724893527615,0.021535719714219314,0.14675053565223983,0.13007977296086334,0.6636330912926347,21,30
0.020417991141486472,0.12961479835874343,0.1284094903413634,0.5543861345294108,0.02211644171795182,0.14871597667349604,0.1246255420868044,0.4438542316639439,21,31
0.01876151482850164,0.11594101422027991,0.11338247304634347,0.6586727907866694,0.007417790114909857,0.0861265935406124,0.07961936691785969,0.7963287483858663,21,32
0.012516576362938,0.08351149281830501,0.07991320734951086,0.6978846198517326,0.013349415468121573,0.11553967053839807,0.10221767227310544,0.5691467804387056,21,33
0.008127413411840888,0.07599735333896583,0.07349845908790825,0.8058744228925381,0.020934999267929112,0.14468931981293268,0.13101600053462265,-0.11793261129961485,21,34
0.019807221406284027,0.11397366387576116,0.11177570481732352,0.6263977677033641,0.02077906169358317,0.14414944222432208,0.12052323776758934,0.4514739667139449,21,35
0.013895681468645064,0.0991790114592002,0.0972087572258187,0.7220149862198473,0.009219575094564853,0.09601861847873491,0.07519670617350364,0.6804193692461249,21,36
0.009701413365261802,0.08417985992635756,0.0831997911389562,0.5895742687622546,0.014257713436477032,0.11940566752242973,0.092836880746887,0.5995024315596338,21,37
0.0032686688020843275,0.048281399153370715,0.04641770987287231,0.8906669942672388,0.004043023967224371,0.06358477779488084,0.05046769418662001,0.7942374590839278,21,38
0.013479038072878865,0.08327119447196635,0.08289139700254163,0.5951462457435528,0.007962002866640774,0.08923005584802003,0.08120710337214092,0.7251774158457327,21,39
0.02167045427813689,0.12943428970711798,0.12789023885914885,0.475901102492465,0.005386537141647732,0.07339303196930709,0.06134895500374194,0.810714056267399,21,40
0.011406345250543556,0.09204366587696021,0.090648678809989,0.7862340782828725,0.00882651754649321,0.09394954787806704,0.08650411904298871,0.6250872401368175,21,41
0.007053633214563145,0.06455507029219547,0.06263103890841903,0.8532132348324488,0.008352850614178781,0.09139393094827895,0.06481620753010935,0.8627373800741966,21,42
0.010607012389239502,0.08950780972299205,0.08919530159869964,0.8341878990810602,0.008607798699775826,0.0927782231979888,0.08159496626981877,0.8183382994706626,21,43
0.0180467868036106,0.11723310992401102,0.11594668307023626,0.6320579036940646,0.0061639775125157436,0.07851100249338142,0.05484317952198508,0.6444138237423223,21,44
0.018220972609293375,0.09082233317560154,0.09081802779878606,0.4879455308367727,0.02871448886013245,0.16945350058388423,0.1510025326005218,0.5472358237397059,21,45
0.02350645259949398,0.1307033686548504,0.12847250630732693,0.5577307942396907,0.026518077174897126,0.16284372009659176,0.14213682103979156,0.4019213009435887,21,46
0.016700132817039918,0.10626072297154122,0.10373875076850705,0.6057578722747525,0.0038102384677781774,0.06172712910688604,0.04648181010081227,0.9036726421828858,21,47
0.01034970535671275,0.08888184979154329,0.08812048864644378,0.7528754830466311,0.004575138779323955,0.06763977217084602,0.05515914135817514,0.7752338077131804,21,48
0.021266257659027135,0.1275910891176003,0.1268948385901098,0.5675487764681699,0.008335931209587625,0.09130132096299387,0.06963658914755376,0.6094275872348502,21,49
0.02364977317853709,0.13058793765420512,0.12768860562471626,0.5200607106875701,0.003058960997954903,0.0553078746468792,0.036769518258929365,0.6981693739432333,21,50
0.011537524760928477,0.08427602457313624,0.08257367791516997,0.7462779545876717,0.022374208681502993,0.14958010790711107,0.13997836636155367,0.6869399699047268,21,51
0.017279015634730915,0.11536588916504442,0.11236423876438449,0.4820469929962363,0.007604823833857175,0.08720564106671755,0.07784421084774887,0.5078759008729508,21,52
0.013092546796372154,0.08479128407031591,0.0816983226596017,0.597603256668582,0.008069140345365596,0.08982839387056632,0.07171616979765293,0.31923574909966557,21,53
0.017422030190015026,0.10981019820627158,0.10757899818657984,0.5319674694848527,0.011801223313374907,0.10863343552228709,0.08025963878417855,0.6480034439034754,21,54
0.01601739159613199,0.10985099218202075,0.10614366097141058,0.6731118416489095,0.010039732788269048,0.10019846699560352,0.07459958833554374,0.43661600249062815,21,55
0.017816500170873086,0.11395079660532852,0.11260981515677868,0.5186041708549041,0.06072693007523554,0.24642834673640032,0.21999716369215097,-0.36709527413697596,21,56
