,mse cv train,rmse cv train,mae cv train,r2 cv train,mse test,rmse test,mae test,r2 test,seed
0,0.04917877697317923,0.17490483775688836,0.17220122741601976,-0.20826373708212054,0.041847932764726196,0.20456767282424218,0.17875254117035658,-0.08357044254469637,21
1,0.05707901301927438,0.20576107503153074,0.20384109900681305,-0.14825382308811252,0.06734599446122504,0.25951106809002394,0.212718020553168,-0.9226017994640103,21
2,0.08953834063915747,0.26182396507952577,0.2597620781593049,-0.7894401643695663,0.08650403480243518,0.2941156826869917,0.26310555299360855,-5.153742313181367,21
3,0.050371399585851406,0.1773869605802502,0.17479736890932135,-0.11056456445727414,0.052949087103479175,0.23010668635109058,0.16698216047567077,-1.0673348749565577,21
4,0.03542663988619301,0.147720448260607,0.14556349783476993,0.03499963609326284,0.03534140412279614,0.1879930959444951,0.15231244191694268,0.3914790912864533,21
5,0.043572721748779436,0.1833176595252083,0.18110779121685164,-0.21891917992497034,0.048495694308795294,0.22021737967016886,0.2026526731635796,-0.07378627253997694,21
6,0.075047738072704,0.23785793178622816,0.23213284591889347,-0.7973776754159996,0.06097516150826532,0.24693149152804572,0.2318898816410661,-5.778091909947823,21
7,0.06727914419497869,0.21698318465110558,0.21383782801073065,-0.6329387170241334,0.04594655464412164,0.21435147455551043,0.19629666650232305,-0.11256235301539852,21
8,0.051163314547561185,0.19114597369962302,0.190205225803967,-0.1787735745452228,0.056760719526638956,0.23824508290128246,0.21328359042596823,-1.194126898710405,21
9,0.041091756771801005,0.17086118334243222,0.16740761463086326,-0.12692226291973263,0.06531196697581695,0.25556206090853345,0.20393154128931892,-1.2964167492932197,21
10,0.05654565869520493,0.19251916233278443,0.19048549137341608,-0.1735846196185773,0.04462731009783393,0.21125176945491825,0.17209968569232764,-1.1058726837383115,21
11,0.036053497496714645,0.1736283206947278,0.17076769735183894,-0.009357170970452966,0.04381244901934522,0.2093142351091899,0.17176474402999928,0.04620134976545409,21
12,0.10804590552408315,0.28171340998773586,0.2811145928575576,-1.0609023946284615,0.04366827631112302,0.20896955833595243,0.15673621580458555,-0.5821839243160514,21
13,0.08153468116481677,0.20849456376467607,0.20754655556844528,-0.781042804342168,0.04968428389894481,0.22289971713518347,0.19315737324510399,-0.2938615598683545,21
14,0.05177502636314362,0.2015706305694006,0.20025962567224623,-0.37691453337567604,0.08066513335457784,0.28401607939442064,0.2415375196779754,-0.4166994746861339,21
15,0.05466481750126763,0.1873023587155613,0.18529466748323997,-0.13863854645759677,0.015046478031536291,0.12266408615212641,0.11280068394472761,0.36430641184231916,21
16,0.05238170358885909,0.1725063882340513,0.17071333553135373,-0.2553136377858516,0.07060558111457703,0.26571710730507553,0.22921439330119903,-0.3076095980853708,21
17,0.042805826941254885,0.17451002049715358,0.17424195087800193,-0.0670994255968973,0.06513115656638309,0.2552080652455621,0.216002255812435,-0.7456660495311076,21
18,0.06392000280763808,0.21289574465931305,0.2116377485590506,-0.5956683134803709,0.06567490451521964,0.2562711542784705,0.21998156883201436,-0.47563752808408033,21
19,0.06310780256728611,0.21549660973000423,0.2109978776747983,-0.6439364949736635,0.052553146377569825,0.229244730315813,0.20755711547765784,-0.03309964394645015,21
20,0.03621491905935539,0.15645876552530955,0.1526695613574506,-0.11602100610642929,0.05685866537132849,0.23845055120785208,0.1986050841566453,-0.07811880009097427,21
21,0.07329154182802612,0.2190120728939859,0.2158058449309391,-0.541700961052423,0.045871512790916565,0.21417635908502264,0.2005818986162781,-0.2229075771245439,21
22,0.07133518850591919,0.22813300863850883,0.22364002945474626,-0.5239703424799325,0.03811343645272397,0.19522662844172659,0.17123511794497007,0.06612741965022773,21
23,0.05326247813154734,0.19371007955546748,0.1930322229894369,-0.21420948912322824,0.054023252876512315,0.2324290276116826,0.175186805708174,-0.4636400480753642,21
24,0.1078569047097503,0.27759280448880763,0.27348897099502834,-1.2277942360029748,0.025648334264575908,0.16015097334882453,0.13307960947835937,-0.28978692422436336,21
25,0.06571662133898443,0.2260668073884634,0.22000695312103435,-0.6849029353877893,0.0566109342660116,0.2379305240317257,0.19328271948325343,-0.2722141712688353,21
26,0.051850026650123365,0.1888028188381413,0.18647012934608603,-0.07770826372827622,0.04073028374665356,0.20181745154137082,0.18517070783831308,-1.237927678387559,21
27,0.05987828082390059,0.20300209164170976,0.19639729865955358,-0.37826109542032005,0.04133322296960641,0.2033057376701563,0.19107594665253608,-0.054089687473047876,21
28,0.0642923951008293,0.22149466949475344,0.22068284955265446,-0.6681655019339898,0.04921394961871432,0.22184217276864723,0.18730570338882288,0.017885667786510462,21
29,0.06185219456321131,0.20751914733093693,0.20633584837151375,-0.37500433740774475,0.038305840262744466,0.19571877851331607,0.159273368545723,-0.22167806097011122,21
30,0.04727696551977419,0.18141814384854107,0.17436159592072872,-0.21220150511420544,0.06983722583032684,0.26426733780459294,0.22277660620346884,-0.6352977471499641,21
31,0.0573721728913634,0.1984299744173072,0.19225650464724303,-0.387181349771889,0.04683749487880849,0.21641971924667236,0.15554331275215974,-0.15957823820817274,21
32,0.05379082943252785,0.17729155123683704,0.17310204711976576,-0.16461014837220556,0.04794965357649654,0.21897409339119672,0.18079104530990894,-0.30297971675262314,21
33,0.07872678215102279,0.24614402696929621,0.2396825680967934,-0.9469492573162499,0.03498947996858299,0.18705475125904444,0.1431540290245473,0.08109951845826635,21
34,0.06198076932282727,0.21956872477255876,0.2177061102358519,-0.7108061126034055,0.06432847999865329,0.2536305975205935,0.2239853672529327,-0.010351791760373041,21
35,0.09957156847078112,0.30055906590547216,0.2986295461826219,-1.006232249723634,0.03483253508432186,0.1866347638686905,0.15040809401182273,-1.9326361153466856,21
36,0.05046064027047857,0.20570257603771164,0.2032402912451105,-0.1429944443380209,0.0447083808830152,0.21144356429793554,0.164283460603107,-0.3331978233128925,21
37,0.06849752397486969,0.23549594524970066,0.22963475404134107,-0.36173598206238533,0.006490522669576512,0.08056378013460212,0.06750975328039702,0.11852657757968688,21
38,0.06817133653123925,0.22560259458517218,0.22302776384619813,-0.4428124252798289,0.04632209726409798,0.21522568913607404,0.16244219985446393,-0.2996923762830972,21
39,0.05039665043949889,0.1972146473797198,0.193782822735601,-0.03568396402628937,0.06667107582883189,0.25820742791180873,0.20658649336886578,-1.1589232854961424,21
40,0.062349247304015094,0.21778826960508352,0.21567456996716694,-0.17979490136144882,0.029632872925508768,0.17214201383017677,0.14168874376027832,-0.21894792927294282,21
41,0.08128463777572145,0.26444441315969613,0.260939797442169,-0.6664954528961813,0.047397333649627026,0.2177092870082189,0.18704464090470005,-0.46824462563644276,21
42,0.07545425281361844,0.25100950969105834,0.24050992997531498,-0.7967903935139962,0.04494231743848004,0.21199603165738748,0.18840766349946608,-0.09626321907881419,21
