Systematic ID	Gene name	Product description
SPCC1322.11	rpl2302	60S ribosomal protein L23
SPAC6G9.09c	rpl2401	60S ribosomal protein L24
SPCC330.14c	rpl2402	60S ribosomal protein L24
SPBC4F6.04	rpl2502	60S ribosomal protein L25
SPBC106.18	rpl2501	60S ribosomal protein L25
SPBC29B5.03c	rpl26	60S ribosomal protein L26
SPCC74.05	rpl2702	60S ribosomal protein L27
SPBC685.07c	rpl2701	60S ribosomal protein L27
SPBC776.11	rpl2801	60S ribosomal protein L27/L28
SPCC5E4.07	rpl2802	60S ribosomal protein L27/L28
SPAC1687.06c	rpl44	60S ribosomal protein L28/L44
SPBC776.01	rpl29	60S ribosomal protein L29
SPAC17A5.03	rpl301	60S ribosomal protein L3
SPAPB8E5.06c	rpl302	60S ribosomal protein L3
SPAC9G1.03c	rpl3001	60S ribosomal protein L30
SPAC1250.05	rpl3002	60S ribosomal protein L30
SPAC890.08	rpl31	60S ribosomal protein L31
SPBC16C6.11	rpl3201	60S ribosomal protein L32
SPAC3H5.10	rpl3202	60S ribosomal protein L32
SPAC23A1.08c	rpl3401	60S ribosomal protein L34
SPCC1322.15	rpl3402	60S ribosomal protein L34
SPCC613.05c	rpl35	60S ribosomal protein L35
SPCP31B10.08c	rpl35A01	60S ribosomal protein L35A
SPBC1921.01c	rpl35A02	60S ribosomal protein L35A
SPCC970.05	rpl3601	60S ribosomal protein L36
SPBC405.07	rpl3602	60S ribosomal protein L36
SPAC15E1.03	rpl42	60S ribosomal protein L36/L42
SPAPB17E12.05	rpl3703	60S ribosomal protein L37
SPCC1223.05c	rpl3702	60S ribosomal protein L37
SPBC800.04c	rpl4301	60S ribosomal protein L37a
SPBC83.02c	rpl4302	60S ribosomal protein L37a
SPAC30D11.12	rpl3802	60S ribosomal protein L38
SPBC577.02	rpl3801	60S ribosomal protein L38
SPCC663.04	rpl39	60S ribosomal protein L39
SPBP8B7.03c	rpl402	60S ribosomal protein L4
SPBC1711.06	rpl401	60S ribosomal protein L4
SPAC3F10.18c	rpl4102	60S ribosomal protein L41
SPAC3G6.13c	rpl4101	60S ribosomal protein L41
SPAC3H5.12c	rpl501	60S ribosomal protein L5
SPBC11C11.09c	rpl502	60S ribosomal protein L5
SPCC622.18	rpl6	60S ribosomal protein L6
SPBC29A3.04	rpl8	60S ribosomal protein L7a/L8
SPAC3H5.07	rpl702	60S ribosomal protein L7b
SPBC2F12.07c	rpl802	60S ribosomal protein L8/L2
SPAC1F7.13c	rpl801	60S ribosomal protein L8/L2
SPBC839.04	rpl803	60S ribosomal protein L8/L2
SPCC613.06	rpl902	60S ribosomal protein L9
SPAC4G9.16c	rpl901	60S ribosomal protein L9
SPAC1610.02c	mrpl1	mitochondrial ribosomal protein subunit L1
SPAC31A2.03	mrp11	mitochondrial ribosomal protein subunit L10
SPAC1486.07c	mrpl19	mitochondrial ribosomal protein subunit L11
SPCC4B3.09c	mrpl12	mitochondrial ribosomal protein subunit L12
SPBC16G5.04	mrpl23	mitochondrial ribosomal protein subunit L13
SPBC887.07	mrpl38	mitochondrial ribosomal protein subunit L14
SPBC9B6.06	mrpl10	mitochondrial ribosomal protein subunit L15
SPBC1105.03c	mrpl16	mitochondrial ribosomal protein subunit L16
SPBC1271.13	mrpl8	mitochondrial ribosomal protein subunit L17
SPAC343.02	img1	mitochondrial ribosomal protein subunit L19
SPCC16C4.15	rml2	mitochondrial ribosomal protein subunit L2
SPBP4H10.15	aco2	mitochondrial ribosomal protein subunit L21/aconitate hydratase, fusion protein
SPCC1739.02c	mrpl22	mitochondrial ribosomal protein subunit L22
SPAC31A2.08	mrp20	mitochondrial ribosomal protein subunit L23
SPAC4F8.02c	mrpl40	mitochondrial ribosomal protein subunit L24
SPAP19A11.05c	mrp7	mitochondrial ribosomal protein subunit L27
SPBC14C8.10	mrpl24	mitochondrial ribosomal protein subunit L28
SPCC4G3.06c	mrpl4	mitochondrial ribosomal protein subunit L29
SPAC644.17c	mrpl9	mitochondrial ribosomal protein subunit L3
SPCC1919.08c	mrpl33	mitochondrial ribosomal protein subunit L30
SPBC1711.18	tam9	mitochondrial ribosomal protein subunit L31
SPBC1604.13c	mrpl32	mitochondrial ribosomal protein subunit L32
SPBC4F6.08c	mrpl39	mitochondrial ribosomal protein subunit L33
SPBC21C3.04c	mrx14	mitochondrial ribosomal protein subunit L34
