NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0043412	GO:0043412		64	0.31046185	1.6841342	0.004398827	0.02663483	0.5086	1205	tags=47%, list=28%, signal=64%	
GO:0019637	GO:0019637		96	0.2836488	1.6837119	0.004251701	0.026272038	0.5094	928	tags=35%, list=21%, signal=44%	
GO:0019752	GO:0019752		162	0.25557742	1.6604536	0.0	0.030102728	0.5658	741	tags=33%, list=17%, signal=38%	
GO:0022613	GO:0022613		15	0.46227372	1.6468837	0.027057497	0.032465126	0.598	993	tags=47%, list=23%, signal=60%	
GO:0009161	GO:0009161		15	0.46087438	1.6457047	0.03386128	0.032160293	0.6004	774	tags=47%, list=18%, signal=57%	
GO:0009156	GO:0009156		15	0.46087438	1.6398621	0.02979415	0.032748245	0.6132	774	tags=47%, list=18%, signal=57%	
GO:0034654	GO:0034654		71	0.29648033	1.6350173	0.008352316	0.0332162	0.6244	774	tags=31%, list=18%, signal=37%	
GO:0034470	GO:0034470		33	0.35541493	1.6303855	0.015713388	0.033635363	0.6338	1360	tags=61%, list=31%, signal=88%	
GO:0009117	GO:0009117		53	0.31441966	1.6275829	0.009065551	0.033657536	0.6412	1372	tags=55%, list=32%, signal=79%	
GO:0006793	GO:0006793		117	0.26538885	1.6132109	0.0054995418	0.03646935	0.6736	928	tags=34%, list=21%, signal=42%	
GO:0009123	GO:0009123		19	0.4182478	1.6088724	0.027839644	0.03664756	0.6794	774	tags=42%, list=18%, signal=51%	
GO:0008033	GO:0008033		24	0.3891371	1.6079539	0.019538188	0.036297522	0.681	1337	tags=67%, list=31%, signal=96%	
GO:0006767	GO:0006767		17	0.43408924	1.6024845	0.039291643	0.037017334	0.6922	1046	tags=53%, list=24%, signal=69%	
GO:0006082	GO:0006082		176	0.24303497	1.5920539	0.0032327587	0.03890014	0.7176	785	tags=32%, list=18%, signal=38%	
GO:0006790	GO:0006790		37	0.33709952	1.5900328	0.020447284	0.038899105	0.723	462	tags=32%, list=11%, signal=36%	
