NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0006725	GO:0006725		242	0.12712799	0.8388415	0.8208556	0.7920332	1.0	1563	tags=39%, list=36%, signal=57%	
GO:1901360	GO:1901360		254	0.1263604	0.83588386	0.84557945	0.7918385	1.0	1469	tags=37%, list=34%, signal=52%	
GO:0009124	GO:0009124		17	0.23718397	0.8354839	0.6798012	0.78695744	1.0	1206	tags=41%, list=28%, signal=57%	
GO:0019222	GO:0019222		49	0.17123757	0.8219653	0.74658674	0.8043624	1.0	620	tags=20%, list=14%, signal=24%	
GO:0044262	GO:0044262		39	0.17540058	0.79103094	0.7832871	0.8492288	1.0	1441	tags=38%, list=33%, signal=57%	
GO:0044267	GO:0044267		74	0.14899273	0.78853077	0.81706506	0.84724313	1.0	1028	tags=26%, list=24%, signal=33%	
GO:0072527	GO:0072527		26	0.19018209	0.76712227	0.7985335	0.8726783	1.0	750	tags=27%, list=17%, signal=32%	
GO:0043043	GO:0043043		40	0.1619996	0.7318502	0.86002046	0.912372	1.0	1902	tags=52%, list=44%, signal=93%	
GO:0006575	GO:0006575		17	0.19934285	0.7074384	0.8510255	0.93258	1.0	621	tags=24%, list=14%, signal=27%	
GO:0009057	GO:0009057		18	0.19537885	0.7057349	0.8649728	0.92820114	1.0	1389	tags=39%, list=32%, signal=57%	
GO:0044260	GO:0044260		150	0.11463355	0.7004491	0.9760705	0.927088	1.0	1460	tags=33%, list=34%, signal=48%	
GO:0019538	GO:0019538		87	0.124860115	0.68737006	0.9513531	0.9330351	1.0	1028	tags=24%, list=24%, signal=31%	
GO:0016051	GO:0016051		19	0.16905582	0.6256541	0.93877554	0.9705649	1.0	1866	tags=58%, list=43%, signal=101%	
GO:0009112	GO:0009112		19	0.13888675	0.5104599	0.98923576	1.0	1.0	3328	tags=95%, list=77%, signal=404%	
GO:0006412	GO:0006412		34	0.09905233	0.43159664	0.9993349	0.999183	1.0	1902	tags=47%, list=44%, signal=83%	
