NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0010467	GO:0010467		94	0.21685788	1.3029282	0.046620045	0.250385	0.962	743	tags=28%, list=17%, signal=33%	
GO:0009451	GO:0009451		28	0.2906504	1.3017454	0.10531804	0.2473432	0.9624	867	tags=39%, list=20%, signal=49%	
GO:0034660	GO:0034660		54	0.24254318	1.2998487	0.0883721	0.24475418	0.9634	893	tags=33%, list=21%, signal=41%	
GO:1901135	GO:1901135		102	0.20720448	1.2870595	0.06478873	0.25724337	0.9718	671	tags=25%, list=15%, signal=29%	
GO:0044260	GO:0044260		150	0.1955882	1.2869617	0.025	0.25274283	0.972	579	tags=22%, list=13%, signal=25%	
GO:0044271	GO:0044271		139	0.19863406	1.2827121	0.02734375	0.25384587	0.9738	578	tags=22%, list=13%, signal=25%	
GO:0006807	GO:0006807		399	0.17052972	1.2786984	0.0	0.25453308	0.9756	578	tags=20%, list=13%, signal=20%	
GO:1901576	GO:1901576		239	0.1786016	1.2739438	0.0	0.25694346	0.9788	579	tags=21%, list=13%, signal=23%	
GO:0009892	GO:0009892		16	0.33085328	1.2699475	0.16862416	0.25784278	0.9806	503	tags=31%, list=12%, signal=35%	
GO:0090407	GO:0090407		65	0.22220095	1.2596195	0.1	0.2669194	0.9848	276	tags=18%, list=6%, signal=19%	
GO:0009259	GO:0009259		34	0.26216233	1.2513222	0.13404508	0.27413327	0.988	271	tags=18%, list=6%, signal=19%	
GO:0044238	GO:0044238		448	0.16525471	1.2430785	0.0	0.28128704	0.9898	671	tags=22%, list=15%, signal=23%	
GO:0044249	GO:0044249		227	0.17379792	1.2101094	0.029126214	0.3269651	0.9956	756	tags=26%, list=17%, signal=30%	
GO:0009117	GO:0009117		53	0.22423173	1.2071013	0.12805755	0.3268577	0.9958	275	tags=17%, list=6%, signal=18%	
GO:0006812	GO:0006812		47	0.23251908	1.2036679	0.16005471	0.32707113	0.996	492	tags=23%, list=11%, signal=26%	
GO:0016070	GO:0016070		80	0.20527941	1.197965	0.13636364	0.3322129	0.9966	893	tags=33%, list=21%, signal=40%	
GO:0006796	GO:0006796		105	0.19445397	1.1923983	0.10891089	0.33605802	0.9968	751	tags=28%, list=17%, signal=33%	
GO:0019637	GO:0019637		96	0.19702259	1.190709	0.1296758	0.33366412	0.997	751	tags=28%, list=17%, signal=33%	
GO:0043170	GO:0043170		208	0.1712886	1.1836656	0.060869563	0.3401194	0.9976	579	tags=20%, list=13%, signal=22%	
GO:0009056	GO:0009056		147	0.17886603	1.1805341	0.102564104	0.34009326	0.9976	399	tags=18%, list=9%, signal=19%	
GO:0090304	GO:0090304		111	0.18558635	1.1647801	0.16720258	0.36198497	0.9982	645	tags=23%, list=15%, signal=26%	
GO:0034645	GO:0034645		72	0.20102037	1.1532004	0.18012422	0.37761557	0.9988	616	tags=25%, list=14%, signal=29%	
GO:0006793	GO:0006793		117	0.17835578	1.1365033	0.16774194	0.40304017	0.9996	751	tags=26%, list=17%, signal=30%	
GO:0006091	GO:0006091		22	0.26932085	1.136108	0.2552182	0.39822066	0.9996	776	tags=36%, list=18%, signal=44%	
GO:0006753	GO:0006753		57	0.20865986	1.1321146	0.2171875	0.4000918	0.9996	275	tags=16%, list=6%, signal=17%	
